model,scenario,variable,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bodirsky2015,SSP4,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.6186,,,,,27.0643,,,,,28.7923,,,,,30.0892,,,,,33.7777,,,,,36.8206,,
Bodirsky2015,SSP4_boundary,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.6186,,,,,27.0643,,,,,28.7923,,,,,30.0892,,,,,33.7777,,,,,36.7521,,
Bodirsky2015,SSP5,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.6186,,,,,27.0643,,,,,28.7923,,,,,30.0892,,,,,33.2311,,,,,36.0825,,
Bodirsky2015,SSP5_boundary,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.6186,,,,,27.0643,,,,,28.7923,,,,,30.0892,,,,,33.2311,,,,,36.1171,,
Bodirsky2015,a1,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.4855,,,,,26.3932,,,,,28.3867,,,,,31.0566,,,,,34.3572,,,,,38.4406,,
Bodirsky2015,a2,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.4855,,,,,26.0732,,,,,27.5275,,,,,28.4911,,,,,29.7419,,,,,30.8423,,
Bodirsky2015,b1,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.4855,,,,,26.2906,,,,,28.1288,,,,,29.7072,,,,,31.9697,,,,,34.2734,,
Bodirsky2015,b2,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.4855,,,,,26.9483,,,,,29.8575,,,,,31.8359,,,,,34.8003,,,,,37.0629,,
FAO,historical,Nutrition|Calorie Supply|+|Fish,,,17.7845,18.4507,18.9094,18.698,19.8956,20.1126,19.8098,20.8114,20.8065,21.6839,21.6151,21.8564,22.8347,22.801,22.8771,23.4918,23.3789,23.5126,23.2574,23.8516,24.5421,24.7178,24.8298,25.4191,26.0384,26.525,27.142,26.6277,27.2339,26.9068,25.6639,24.2244,24.6365,26.1136,27.4294,28.5033,28.1473,28.531,28.7658,29.3098,29.3247,29.4455,29.5393,30.4475,30.7857,31.4246,32.6182,33.5966,33.3652,33.9005,33.8445,,,,,,
FAOmassbalance,historical,Nutrition|Calorie Supply|+|Fish,,,,,,,19.9138,,,,,21.7071,,,,,22.8878,,,,,23.8973,,,,,26.1245,,,,,27.0767,,,,,27.5623,,,,,29.3359,,,,,30.7491,,,,,33.8141,,,,,,,
Bodirsky2015,SSP1,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.7996,,,,,391.2643,,,,,410.5738,,,,,426.9394,,,,,465.3454,,,,,500.0185,,
Bodirsky2015,SSP1_boundary,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.7996,,,,,391.2643,,,,,410.5738,,,,,426.9394,,,,,465.3454,,,,,498.7725,,
Bodirsky2015,SSP2,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.7996,,,,,391.2643,,,,,410.5738,,,,,426.9394,,,,,465.3454,,,,,498.9934,,
Bodirsky2015,SSP2_boundary,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.7996,,,,,391.2643,,,,,410.5738,,,,,426.9394,,,,,465.3454,,,,,498.3345,,
Bodirsky2015,SSP3,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.7996,,,,,391.2643,,,,,410.5738,,,,,426.9394,,,,,457.6703,,,,,486.8161,,
Bodirsky2015,SSP3_boundary,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.7996,,,,,391.2643,,,,,410.5738,,,,,426.9394,,,,,457.6703,,,,,486.7652,,
Bodirsky2015,SSP4,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.7996,,,,,391.2643,,,,,410.5738,,,,,426.9394,,,,,465.3454,,,,,498.4585,,
Bodirsky2015,SSP4_boundary,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.7996,,,,,391.2643,,,,,410.5738,,,,,426.9394,,,,,465.3454,,,,,497.2508,,
Bodirsky2015,SSP5,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.7996,,,,,391.2643,,,,,410.5738,,,,,426.9394,,,,,457.6703,,,,,489.4673,,
Bodirsky2015,SSP5_boundary,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.7996,,,,,391.2643,,,,,410.5738,,,,,426.9394,,,,,457.6703,,,,,489.4078,,
Bodirsky2015,a1,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.1583,,,,,388.4981,,,,,397.8337,,,,,431.2004,,,,,467.513,,,,,517.1543,,
Bodirsky2015,a2,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.1583,,,,,382.9113,,,,,387.7163,,,,,395.496,,,,,405.4368,,,,,415.6709,,
Bodirsky2015,b1,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.1583,,,,,380.4447,,,,,392.356,,,,,411.436,,,,,435.4794,,,,,462.7438,,
Bodirsky2015,b2,Nutrition|Calorie Supply|+|Livestock products,kcal/capita/day,,,,,,329.708,,,,,338.5441,,,,,340.7331,,,,,359.9492,,,,,375.5899,,,,,380.1583,,,,,391.7676,,,,,407.9167,,,,,429.2565,,,,,453.2638,,,,,477.1804,,
FAO,historical,Nutrition|Calorie Supply|+|Livestock products,,,318.9066,323.5819,331.1298,331.9232,334.0871,338.1636,342.2724,347.0925,343.4334,343.1,346.6004,348.1226,341.6272,346.838,345.6554,348.7948,348.4839,354.6157,361.9516,364.8881,363.3031,361.3426,367.2041,371.8685,380.5066,377.9106,379.9468,383.6057,384.7261,384.9224,381.8344,382.702,383.8945,391.32,396.543,395.8486,398.6154,407.7821,413.5869,417.9524,415.9662,423.1993,428.9312,431.9022,436.7193,444.4547,453.053,456.855,461.0187,467.7846,469.4479,,,,,,
FAOmassbalance,historical,Nutrition|Calorie Supply|+|Livestock products,,,,,,,334.3926,,,,,343.4668,,,,,345.8168,,,,,365.5876,,,,,381.7658,,,,,387.3536,,,,,398.4641,,,,,418.3249,,,,,436.201,,,,,466.5933,,,,,,,
Bodirsky2015,SSP1,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,563.5851,,,,,563.1474,,,,,574.4367,,,,,587.3956,,,,,592.2905,,,,,592.5541,,
Bodirsky2015,SSP1_boundary,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,563.5851,,,,,563.1474,,,,,574.4367,,,,,587.3956,,,,,592.2905,,,,,592.5788,,
Bodirsky2015,SSP2,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,563.5851,,,,,563.1474,,,,,574.4367,,,,,587.3956,,,,,592.2905,,,,,591.6957,,
Bodirsky2015,SSP2_boundary,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,563.5851,,,,,563.1474,,,,,574.4367,,,,,587.3956,,,,,592.2905,,,,,591.6333,,
Bodirsky2015,SSP3,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,563.5851,,,,,563.1474,,,,,574.4367,,,,,587.3956,,,,,597.307,,,,,598.8656,,
Bodirsky2015,SSP3_boundary,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,563.5851,,,,,563.1474,,,,,574.4367,,,,,587.3956,,,,,597.307,,,,,598.7098,,
Bodirsky2015,SSP4,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,563.5851,,,,,563.1474,,,,,574.4367,,,,,587.3956,,,,,592.2905,,,,,591.3705,,
